trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
58,0,58,0,10,92.97286258300028,92.97286258300028,0.01661316700028692,[0.08555555555555555],[0.4955555555555556],[1],[0],[0],[1.9788581669999985],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
59,0,59,0,10,94.96992950000003,94.96992950000003,0.01548358400032157,[-0.11],[0.2544444444444444],[1],[0],[0],[1.1480282080001416],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
60,0,60,0,10,96.13626424999984,96.13626424999984,0.015489000000343367,[-0.47444444444444445],[0.26],[1],[0],[0],[1.3146113329994478],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
61,0,61,0,5,97.46056366599987,97.46056366599987,0.008327167000061308,[0.1],[-0.4311111111111111],[1],[0],[0],[1.2737039170006028],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
62,0,62,0,10,98.75538233299994,98.75538233299994,0.016610499999842432,[0.2677777777777778],[0.04111111111111111],[1],[0],[0],[1.2956212499993853],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
63,0,63,0,10,100.06866470800014,100.06866470800014,0.014917167000021436,[0.13],[-0.20444444444444446],[1],[0],[0],[0.9827348750004603],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
64,0,64,0,10,101.06969995799955,101.06969995799955,0.015382958999907714,[0.16],[0.03111111111111111],[1],[0],[0],[0.8832681249996313],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
65,0,65,0,5,101.96317429099963,101.96317429099963,0.00861020800039114,[0.4711111111111111],[-0.12777777777777777],[1],[0],[0],[1.154358207999394],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
66,0,66,0,5,103.13149433299986,103.13149433299986,0.010350166000534955,[-0.3466666666666667],[-0.21777777777777776],[1],[0],[0],[1.1528688329999568],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
67,0,67,0,5,104.29690529100026,104.29690529100026,0.009505834000265168,[0.4411111111111111],[0.32222222222222224],[1],[0],[0],[1.371043125000142],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
68,0,68,0,10,105.6898998329998,105.6898998329998,0.01740554199932376,[0.39444444444444443],[0.4711111111111111],[1],[0],[0],[1.6615640419995543],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
69,0,69,0,5,107.36086087500007,107.36086087500007,0.008330499999829044,[0.25666666666666665],[0.2611111111111111],[1],[0],[0],[1.073082500000055],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
70,0,70,0,10,108.45551479099959,108.45551479099959,0.016599874999883468,[0.43777777777777777],[-0.2111111111111111],[1],[0],[0],[1.2301827499995852],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
71,0,71,0,10,109.70343216600031,109.70343216600031,0.015475250000235974,[-0.16333333333333333],[0.46555555555555556],[1],[0],[0],[3.048049500000161],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
72,0,72,0,10,112.76995412500037,112.76995412500037,0.015439499999956752,[0.017777777777777778],[-0.2911111111111111],[1],[0],[0],[1.4143672090003747],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
73,0,73,0,10,114.20246358300028,114.20246358300028,0.015142625000407861,[-0.45444444444444443],[0.3788888888888889],[1],[0],[0],[1.631965250000576],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
74,0,74,0,10,115.85238324999955,115.85238324999955,0.015057874999911292,[-0.4211111111111111],[0.4855555555555556],[1],[0],[0],[3.0157892910001465],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
75,0,75,0,5,118.8776385000001,118.8776385000001,0.008027042000321671,[-0.10666666666666667],[0.4777777777777778],[1],[0],[0],[1.2410719589997825],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
76,0,76,0,10,120.13925795799969,120.13925795799969,0.0163057090003349,[-0.15888888888888889],[-0.38222222222222224],[1],[0],[0],[1.3458138340001824],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
77,0,77,0,10,121.50338575000023,121.50338575000023,0.01537829100016097,[-0.3322222222222222],[-0.09444444444444444],[1],[0],[0],[1.0313899169996148],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
78,0,78,0,10,122.5523373750002,122.5523373750002,0.014900000000125146,[-0.15333333333333332],[-0.3811111111111111],[1],[0],[0],[1.0323958339995443],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
79,0,79,0,5,123.59463700000015,123.59463700000015,0.008452750000287779,[0.08666666666666667],[-0.44],[1],[0],[0],[1.139280499999586],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
80,0,80,0,5,124.74636979099978,124.74636979099978,0.009104875000048196,[-0.13555555555555557],[0.48],[1],[0],[0],[1.3884888339998724],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
81,0,81,0,5,126.14759400000003,126.14759400000003,0.009308874999987893,[0.4411111111111111],[-0.25555555555555554],[1],[0],[0],[1.6875530409997737],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
82,0,82,0,5,127.84844708299988,127.84844708299988,0.010011792000113928,[-0.23],[-0.023333333333333334],[1],[0],[0],[1.4703465829998095],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
83,0,83,0,10,129.3382248329999,129.3382248329999,0.01564479099943128,[0.16444444444444445],[0.2644444444444444],[1],[0],[0],[1.2469570409994049],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
84,0,84,0,5,130.59516829099994,130.59516829099994,0.00866066700018564,[0.31333333333333335],[-0.4033333333333333],[1],[0],[0],[1.2725886250000258],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
85,0,85,0,10,131.8902310000003,131.8902310000003,0.01718383299976267,[-0.13444444444444445],[0.3566666666666667],[1],[0],[0],[1.7290263329996378],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
86,0,86,0,10,133.63728991599965,133.63728991599965,0.015414749999763444,[-0.47444444444444445],[0.29888888888888887],[1],[0],[0],[1.131382417000168],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
87,0,87,0,5,134.77849770800003,134.77849770800003,0.008491665999827092,[0.29333333333333333],[-0.2111111111111111],[1],[0],[0],[1.1904280419994393],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
88,0,88,0,5,135.98176975000024,135.98176975000024,0.009378540999932738,[-0.06777777777777778],[-0.22555555555555556],[1],[0],[0],[1.2531658750003771],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
89,0,89,0,5,137.2476454159996,137.2476454159996,0.009592040999450546,[0.4022222222222222],[0.4811111111111111],[1],[0],[0],[1.6044955000006667],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
90,0,90,0,10,138.87187825,138.87187825,0.015710042000137037,[-0.45222222222222225],[-0.31333333333333335],[1],[0],[0],[1.2468386250002368],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
91,0,91,0,10,140.18939379099993,140.18939379099993,0.06715916699977242,[0.31222222222222223],[-0.05444444444444444],[1],[0],[0],[1.4132968339999934],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
92,0,92,0,5,141.6121137910004,141.6121137910004,0.008379707999665698,[0.29555555555555557],[-0.3322222222222222],[1],[0],[0],[1.1892964999997275],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
93,0,93,0,10,142.82202683299965,142.82202683299965,0.01650591700035875,[-0.3988888888888889],[0.3333333333333333],[1],[0],[0],[1.6303270420003173],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
94,0,94,0,5,144.46208012500028,144.46208012500028,0.008335582999279723,[0.36444444444444446],[-0.36444444444444446],[1],[0],[0],[1.2385599580002236],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
95,0,95,0,5,145.71381920800013,145.71381920800013,0.009408500000063214,[0.41333333333333333],[0.4022222222222222],[1],[0],[0],[1.6543738329992266],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
96,0,96,0,10,147.38853633300005,147.38853633300005,0.01626241600024514,[0.2511111111111111],[-0.06777777777777778],[1],[0],[0],[1.1803612919993611],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
